20090327-080859 : Mandatory attributes:
20090327-080902 : 	119	msDS-NCReplOutboundNeighbors	 [Syntax: DirectoryString]	 Multivalued
20090327-080902 : 	120	msDS-NonMembersBL	 [Syntax: DN]	 Multivalued
20090327-080902 : 	121	msDS-ObjectReferenceBL	 [Syntax: DN]	 Multivalued
20090327-080902 : 	122	msDS-OperationsForAzRoleBL	 [Syntax: DN]	 Multivalued
20090327-080902 : 	123	msDS-OperationsForAzTaskBL	 [Syntax: DN]	 Multivalued
20090327-080902 : 	124	msDS-ReplAttributeMetaData	 [Syntax: DirectoryString]	 Multivalued
20090327-080902 : 	125	msDS-ReplValueMetaData	 [Syntax: DirectoryString]	 Multivalued
20090327-080902 : 	126	msDS-Site-Affinity	 [Syntax: OctetString]	 Multivalued
20090327-080902 : 	127	msDS-TasksForAzRoleBL	 [Syntax: DN]	 Multivalued
20090327-080902 : 	128	msDS-TasksForAzTaskBL	 [Syntax: DN]	 Multivalued
20090327-080902 : 	129	msDS-User-Account-Control-Computed	 [Syntax: INTEGER]	 Single-valued
20090327-080902 : 	130	msExchAssistantName	 [Syntax: DirectoryString]	 Single-valued
20090327-080902 : 	131	msExchHouseIdentifier	 [Syntax: DirectoryString]	 Single-valued
20090327-080902 : 	132	msExchLabeledURI	 [Syntax: DirectoryString]	 Multivalued
20090327-080902 : 	133	msIIS-FTPDir	 [Syntax: DirectoryString]	 Single-valued
20090327-080902 : 	134	msIIS-FTPRoot	 [Syntax: DirectoryString]	 Single-valued
20090327-080902 : 	135	mSMQDigests	 [Syntax: OctetString]	 Multivalued
20090327-080902 : 	136	mSMQDigestsMig	 [Syntax: OctetString]	 Multivalued
20090327-080902 : 	137	mSMQSignCertificates	 [Syntax: OctetString]	 Single-valued
20090327-080902 : 	138	mSMQSignCertificatesMig	 [Syntax: OctetString]	 Single-valued
20090327-080902 : 	139	msNPAllowDialin	 [Syntax: Boolean]	 Single-valued
20090327-080902 : 	140	msNPCallingStationID	 [Syntax: IA5String]	 Multivalued
20090327-080902 : 	141	msNPSavedCallingStationID	 [Syntax: IA5String]	 Multivalued
20090327-080903 : 	142	msRADIUSCallbackNumber	 [Syntax: IA5String]	 Single-valued
20090327-080903 : 	143	msRADIUSFramedIPAddress	 [Syntax: INTEGER]	 Single-valued
20090327-080903 : 	144	msRADIUSFramedRoute	 [Syntax: IA5String]	 Multivalued
20090327-080903 : 	145	msRADIUSServiceType	 [Syntax: INTEGER]	 Single-valued
20090327-080903 : 	146	msRASSavedCallbackNumber	 [Syntax: IA5String]	 Single-valued
