ActiveTime,ClientType,ComputerName,Description,IdleTime,InstallDate,Name,ResourcesOpened,SessionType,Status,TransportName,UserName
18254,"Windows Server 2003 3790 Service Pack 1","172.18.128.5","",0,,"",19,2,"","\Device\NetbiosSmb","AS77966",
18244,"Windows Server 2003 3790 Service Pack 1","172.18.128.3","",0,,"",7,2,"","\Device\NetbiosSmb","AS79186",
18242,"Windows Server 2003 3790 Service Pack 1","172.18.128.17","",0,,"",7,2,"","\Device\NetbiosSmb","TB38808",
18233,"Windows Server 2003 3790 Service Pack 1","172.18.128.6","",0,,"",5,2,"","\Device\NetbiosSmb","JS77490",
18231,"Windows Server 2003 3790 Service Pack 1","172.18.128.13","",0,,"",7,2,"","\Device\NetbiosSmb","TK76701",
18211,"Windows Server 2003 3790 Service Pack 1","172.18.128.20","",0,,"",8,2,"","\Device\NetbiosSmb","JW56708",
18192,"Windows 2000 2195","172.18.0.238","",1585,,"",0,2,"","\Device\NetbiosSmb","EM58634",
18160,"Windows Server 2003 3790 Service Pack 1","172.18.128.24","",0,,"",15,2,"","\Device\NetbiosSmb","RR37130",
18155,"Windows Server 2003 3790 Service Pack 1","172.18.128.2","",0,,"",7,2,"","\Device\NetbiosSmb","FG39004",
18148,"Windows Server 2003 3790 Service Pack 1","172.18.128.12","",0,,"",7,2,"","\Device\NetbiosSmb","PP78944",
18145,"Windows Server 2003 3790 Service Pack 1","172.18.128.8","",2,,"",5,2,"","\Device\NetbiosSmb","JG77967",
18144,"Windows Server 2003 3790 Service Pack 1","172.18.128.22","",0,,"",5,2,"","\Device\NetbiosSmb","JW75591",
18133,"Windows Server 2003 3790 Service Pack 1","172.18.128.22","",0,,"",6,2,"","\Device\NetbiosSmb","JG79811",
18124,"Windows 2000 2195","172.18.0.230","",1060,,"",0,2,"","\Device\NetbiosSmb","SN82828",
18123,"Windows 2000 2195","172.18.0.228","",18063,,"",0,2,"","\Device\NetbiosSmb","JG77967",
18120,"Windows Server 2003 3790 Service Pack 1","172.18.128.14","",4638,,"",0,2,"","\Device\NetbiosSmb","JV79136",
18120,"Windows Server 2003 3790 Service Pack 1","172.18.128.7","",0,,"",5,2,"","\Device\NetbiosSmb","WB58136",
18082,"Windows Server 2003 3790 Service Pack 1","172.18.128.23","",0,,"",6,2,"","\Device\NetbiosSmb","LH82748",
18080,"Windows Server 2003 3790 Service Pack 1","172.18.128.9","",0,,"",6,2,"","\Device\NetbiosSmb","MO38388",
18044,"Windows Server 2003 3790 Service Pack 1","172.18.128.21","",1218,,"",6,2,"","\Device\NetbiosSmb","BGC361",
18029,"Windows Server 2003 3790 Service Pack 1","172.18.128.19","",0,,"",4,2,"","\Device\NetbiosSmb","RM75974",
18013,"Windows Server 2003 3790 Service Pack 1","172.18.128.16","",0,,"",8,2,"","\Device\NetbiosSmb","HV39998",
18001,"Windows Server 2003 3790 Service Pack 1","172.18.128.21","",0,,"",8,2,"","\Device\NetbiosSmb","HW75165",
18000,"Windows 2000 2195","172.18.0.232","",1902,,"",0,2,"","\Device\NetbiosSmb","PL77306",
17972,"Windows Server 2003 3790 Service Pack 1","172.18.128.25","",0,,"",6,2,"","\Device\NetbiosSmb","SP38843",
17964,"Windows Server 2003 3790 Service Pack 1","172.18.128.3","",0,,"",9,2,"","\Device\NetbiosSmb","JC57599",
17958,"Windows Server 2003 3790 Service Pack 1","172.18.128.12","",0,,"",7,2,"","\Device\NetbiosSmb","RK39388",
17955,"Windows Server 2003 3790 Service Pack 1","172.18.128.2","",2298,,"",5,2,"","\Device\NetbiosSmb","MW75608",
17924,"Windows Server 2003 3790 Service Pack 1","172.18.128.16","",0,,"",14,2,"","\Device\NetbiosSmb","EB78197",
17920,"Windows Server 2003 3790 Service Pack 1","172.18.128.4","",0,,"",16,2,"","\Device\NetbiosSmb","Q055964",
17918,"Windows 2000 2195","172.18.0.237","",187,,"",8,2,"","\Device\NetbiosSmb","HH37766",
17902,"Windows Server 2003 3790 Service Pack 1","172.18.128.17","",0,,"",8,2,"","\Device\NetbiosSmb","AH78300",
17899,"Windows Server 2003 3790 Service Pack 1","172.18.128.13","",0,,"",5,2,"","\Device\NetbiosSmb","JE38044",
17894,"Windows 2000 2195","172.18.0.226","",125,,"",9,2,"","\Device\NetbiosSmb","LB39552",
17886,"Windows Server 2003 3790 Service Pack 1","172.18.128.20","",0,,"",7,2,"","\Device\NetbiosSmb","JW82745",
17863,"Windows Server 2003 3790 Service Pack 1","172.18.128.20","",0,,"",6,2,"","\Device\NetbiosSmb","BH56590",
17861,"Windows Server 2003 3790 Service Pack 1","172.18.128.6","",0,,"",7,2,"","\Device\NetbiosSmb","LV77336",
17855,"Windows 2000 2195","172.18.0.52","",4706,,"",0,2,"","\Device\NetbiosSmb","PH75512",
17852,"Windows Server 2003 3790 Service Pack 1","172.18.128.19","",0,,"",6,2,"","\Device\NetbiosSmb","JB79260",
17849,"Windows Server 2003 3790 Service Pack 1","172.18.128.5","",2,,"",5,2,"","\Device\NetbiosSmb","HH37766",
17825,"Windows 2000 2195","172.18.0.233","",0,,"",9,2,"","\Device\NetbiosSmb","RS76759",
17819,"Windows Server 2003 3790 Service Pack 1","172.18.128.9","",0,,"",5,2,"","\Device\NetbiosSmb","ML82625",
17813,"Windows Server 2003 3790 Service Pack 1","172.18.128.24","",2,,"",5,2,"","\Device\NetbiosSmb","JS76263",
17778,"Windows Server 2003 3790 Service Pack 1","VCS022","",0,,"",14,2,"","\Device\NetBT_Tcpip_{EC8A3CA5-F812-4C0A-9C61-91EB4B6A22C9}","AF38068",
17769,"Windows Server 2003 3790 Service Pack 1","172.18.128.8","",0,,"",7,2,"","\Device\NetbiosSmb","HD39936",
17753,"Windows Server 2003 3790 Service Pack 1","172.18.128.7","",0,,"",8,2,"","\Device\NetbiosSmb","AM78665",
17690,"Windows Server 2003 3790 Service Pack 1","172.18.128.23","",0,,"",5,2,"","\Device\NetbiosSmb","JV76959",
17683,"Windows 2000 2195","172.18.0.227","",93,,"",10,2,"","\Device\NetbiosSmb","LN75988",
17673,"Windows 2000 2195","172.18.0.228","",17624,,"",0,2,"","\Device\NetbiosSmb","JG77967",
17625,"Windows Server 2003 3790 Service Pack 1","172.18.128.14","",0,,"",16,2,"","\Device\NetbiosSmb","JS34398",
17604,"Windows 2000 2195","172.18.0.51","",421,,"",0,2,"","\Device\NetbiosSmb","MM78053",
17571,"Windows Server 2003 3790 Service Pack 1","172.18.128.14","",0,,"",12,2,"","\Device\NetbiosSmb","JH77823",
17485,"Windows Server 2003 3790 Service Pack 1","172.18.128.9","",0,,"",7,2,"","\Device\NetbiosSmb","AM75881",
