20080219-080831 : Mandatory attributes:
20080219-080833 : 	246	textEncodedORAddress	 [Syntax: DirectoryString]	 Single-valued
20080219-080833 : 	247	thumbnailLogo	 [Syntax: OctetString]	 Single-valued
20080219-080833 : 	248	thumbnailPhoto	 [Syntax: OctetString]	 Single-valued
20080219-080833 : 	249	title	 [Syntax: DirectoryString]	 Single-valued
20080219-080833 : 	250	tokenGroups	 [Syntax: OctetString]	 Multivalued
20080219-080833 : 	251	tokenGroupsGlobalAndUniversal	 [Syntax: OctetString]	 Multivalued
20080219-080833 : 	252	tokenGroupsNoGCAcceptable	 [Syntax: OctetString]	 Multivalued
20080219-080833 : 	253	uid	 [Syntax: DirectoryString]	 Multivalued
20080219-080833 : 	254	unicodePwd	 [Syntax: OctetString]	 Single-valued
20080219-080833 : 	255	url	 [Syntax: DirectoryString]	 Multivalued
20080219-080833 : 	256	userAccountControl	 [Syntax: INTEGER]	 Single-valued
20080219-080833 : 	257	userCert	 [Syntax: OctetString]	 Single-valued
20080219-080833 : 	258	userCertificate	 [Syntax: OctetString]	 Multivalued
20080219-080833 : 	259	userParameters	 [Syntax: DirectoryString]	 Single-valued
20080219-080833 : 	260	userPassword	 [Syntax: OctetString]	 Multivalued
20080219-080833 : 	261	userPKCS12	 [Syntax: OctetString]	 Multivalued
20080219-080833 : 	262	userPrincipalName	 [Syntax: DirectoryString]	 Single-valued
20080219-080833 : 	263	userSharedFolder	 [Syntax: DirectoryString]	 Single-valued
20080219-080833 : 	264	userSharedFolderOther	 [Syntax: DirectoryString]	 Multivalued
20080219-080833 : 	265	userSMIMECertificate	 [Syntax: OctetString]	 Multivalued
20080219-080833 : 	266	userWorkstations	 [Syntax: DirectoryString]	 Single-valued
20080219-080833 : 	267	uSNChanged	 [Syntax: INTEGER8]	 Single-valued
20080219-080833 : 	268	uSNCreated	 [Syntax: INTEGER8]	 Single-valued
20080219-080833 : 	269	uSNDSALastObjRemoved	 [Syntax: INTEGER8]	 Single-valued
20080219-080833 : 	270	USNIntersite	 [Syntax: INTEGER]	 Single-valued
20080219-080833 : 	271	uSNLastObjRem	 [Syntax: INTEGER8]	 Single-valued
20080219-080833 : 	272	uSNSource	 [Syntax: INTEGER8]	 Single-valued
20080219-080833 : 	273	volumeCount	 [Syntax: INTEGER]	 Single-valued
20080219-080833 : 	274	wbemPath	 [Syntax: DirectoryString]	 Multivalued
20080219-080833 : 	275	wellKnownObjects	 [Syntax: DNWithBinary]	 Multivalued
20080219-080833 : 	276	whenChanged	 [Syntax: GeneralizedTime]	 Single-valued
20080219-080833 : 	277	whenCreated	 [Syntax: GeneralizedTime]	 Single-valued
20080219-080833 : 	278	wWWHomePage	 [Syntax: DirectoryString]	 Single-valued
20080219-080833 : 	279	x121Address	 [Syntax: NumericString]	 Multivalued
20080219-080833 : 	280	x500uniqueIdentifier	 [Syntax: OctetString]	 Multivalued
